id,english,google_translate_sundanese
187,"During wet season like this, I always get restless when it's raining, I fear it might flood.","Dina usum ngijih siga kieu mah sok ngareuah-reuah mun hujan, sieun banjir."
188,Sate Kambing H. Ihsan is pretty popular in Tegal. If you can't come to the main location. You can also find Sate Kambing H. Ihsan in many restaurants in Tegal city.,Sate Kambing H. Ihsan lumayan populer di Tegal. Lamun teu bisa datang ka lokasi utama. Saté Kambing H. Ihsan ogé tiasa dipendakan di seueur réstoran di kota Tegal.
189,"Out of all the Sundanese restaurants in Bandung, I personally think Ciganea is one of my favorites. I like it here because their chicken is unique, fried but not too dryly. The sambal's taste is no slouch either. Other menus are also wonderful. The place feels like home, not too big, but just enough, and it's clean too.","Tina sadaya réstoran Sunda nu aya di Bandung, kuring pribadi nganggap Ciganea téh salah sahiji karesep kuring. Kuring resep ka dieu sabab hayam maranéhanana unik, digoréng tapi teu garing teuing. Rasa sambalna ogé teu léngoh. ménu séjén ogé éndah. Tempatna karasaeun sapertos bumi, henteu ageung teuing, tapi cekap, sareng bersih ogé."
190,"This hotel has been around since 30 years ago, before I was even born. It was the first accomodation in this city. Nowadays, there are lots of other hotels around here.","Hotél ieu parantos aya ti 30 taun ka pengker, sateuacan kuring lahir. Ã‰ta akomodasi munggaran di kota ieu. Kiwari, aya loba hotél séjén di sabudeureun dieu."
191,"Food here's the same as other KFCs. Fried chicken's crispy, crunchy, and tasty.","Kadaharan di dieu sami sareng KFC sanés. Ayam goreng renyah, gurih dan gurih."
192,How can I not be mad if Indosat keeps giving me false hopes like this? My credits keep getting drained completely.,Kumaha carana abdi moal gelo lamun Indosat tetep masihan abdi harepan palsu kawas ieu? sks abdi terus meunang lemes sagemblengna.
193,"The services of Batik Air's business class in Halim are disappointing, the glasses are dirty/smelly, there is no TV with the excuse of the plane being new, and the pick-up upon landing is removed.","Palayanan kelas bisnis Batik Air di Halim nguciwakeun, kacamatana kotor/bau, teu aya TV alesan pesawat anyar, pick-up pas badarat dicabut."
194,Use Laurier Double before bed when you're in your period to avoid leaking out.,Anggo Laurier Double sateuacan bobo nalika anjeun nuju haid pikeun nyegah bocor.
195,"The resto might be very modest, but the taste is anyting but. The peanut sauce composition is perfect and the portion isn't too big. This place is always packed with customers","Resto bisa jadi pisan modest, tapi rasa téh anyting tapi. Komposisi saos kacang sampurna sareng porsina henteu ageung teuing. Tempat ieu salawasna dipak ku konsumén"
196,"Location and architecture are top tier, but the food is nothing too special. Decent place to kill time with friends","Lokasi sareng arsitéktur nyaéta tingkat luhur, tapi tuangeunana henteu khusus teuing. Tempat anu saé pikeun maéhan waktos sareng réréncangan"
197,"The food was alright and the atmosphere had nothing special going for it, so one visit is enough","Dahareun éta oke sareng atmosfir henteu ngagaduhan anu khusus pikeun éta, janten hiji kunjungan cekap"
198,"Gee, the ones who banned GBK for concerts sure are bigheaded, huh. Who do y'all think's gonna take care of those field grass without that concert cash? Not to mention the damaged bleachers due to the football supporters. Damn.","Gee, jelema nu ngalarang GBK keur konser pasti bigheaded, huh. Saha anu anjeun pikir bakal ngurus jukut sawah tanpa artos konsér éta? Teu kacaturkeun bangku-bangku ruksak alatan suporter bal. Bangsat."
199,This is insane. Over 30 minutes just for a mix platter? Asked the servers about it but they all ran away. Unresponsive. Took forever.,Ieu gélo. Langkung ti 30 menit ngan ukur pikeun piring campuran? Nanya ka server ngeunaan éta tapi aranjeunna sadayana kabur. Teu tanggap. Nyokot salawasna.
200,"If you're tired of the same old Bandung souvenirs, Roti Bakar Tunggal might be something you can take home. I often buy their yummy marie toast, as well as their cheese or chocolate toasted bread. I usually buy some from the Roti Bakar Tunggal counter in Paskal Hyper Square. They're a bit pricey, but it tastes almost as good as the other souvenir food. So, you can't really say it's all that expensive. And in the end, it tastes great.","Upami anjeun bosen ku oleh-oleh Bandung anu sami, Roti Bakar Tunggal tiasa janten anu tiasa di bawa ka bumi. Kuring mindeng meuli roti bakar marie yummy maranéhanana, kitu ogé kéju maranéhanana atawa roti bakar coklat. Biasana meser di loket Roti Bakar Tunggal di Paskal Hyper Square. Ã‰ta rada mahal, tapi raosna ampir sae sareng tuangeun souvenir anu sanés. Janten, anjeun moal tiasa nyarios yén éta sadayana mahal. Sarta dina tungtungna, éta raos hébat."
201,"Went with my family for dinner, high price for mediocre flavours","Indit jeung kulawarga kuring keur dinner, harga tinggi pikeun rasa biasa"
202,"Good afternoon, the administration fee for a Simpedes Account is Rp 5.500 per month. Thank you, Era","Wilujeng siang, biaya administrasi kanggo Rekening Simpedes Rp 5.500 sasih. Hatur nuhun, Era"
203,"Comfortable and great place, usually used for pre-wedding photos.","Tempat anu nyaman sareng saé, biasana dianggo pikeun poto-poto pre-wedding."
204,"Amazing services, the place is great, very satisfying to see the beautiful city night view. And for the food, it's the best! They're so good, you won't regret coming here.","Palayanan endah pisan, tempatna saé, nyugemakeun pisan ningali pemandangan wengi kota anu indah. Sareng pikeun tuangeun, éta pangsaéna! Ã‰ta saé pisan, anjeun moal kuciwa sumping ka dieu."
205,Arif just bought the newest Bilabong jacket,Arif karék meuli jaket Bilabong pang anyarna
206,"The restaurant that has been here for a long time, to the point of becoming a legend, might have opened a few more branches. Not only preserving the decade-long flavour consistency, the resto also retains its building's authenticity even after being restored, including the hard-to-deal-with parking lot. Lately there has been some change though, in that the head chef lady is nowhere to be seen anymore.","Réstoran anu parantos lami di dieu, dugi ka janten legenda, sigana parantos muka sababaraha cabang deui. Henteu ngan ukur ngajaga konsistensi rasa salami dasawarsa, resto ogé nahan kaaslian gedongna sanajan saatos dipugar, kalebet tempat parkir anu susah diurus. Ahir-ahir ieu aya sababaraha parobihan sanaos, yén kepala koki awéwé teu kapendak deui."
207,"It's no use giving help to the victims of natural disasters if you just wanna look good. Worse yet, for publication. I'm sorry, I'm fed up with that crap","Henteu aya gunana masihan bantosan ka korban bencana alam upami anjeun ngan ukur hoyong katingali saé. Parah deui, pikeun publikasi. Hapunten, abdi parantos kesel ku hal éta"
208,"The taste is so-so but it's so expensive. The place is also ordinary. Located way too far from the city centre, too",Rasana sakitu-sakitu tapi mahal pisan. Tempatna ogé biasa. Tempatna jauh teuing ti pusat kota
209,"To get to this place, you gotta travel far from the city centre and go through heavy traffic. And when you do arrive, there's really nothing special that can make up for the long road. The menu was mediocre","Pikeun ka tempat ieu, anjeun kedah ngarambat jauh ti pusat kota sareng ngalangkungan lalu lintas anu beurat. Sareng nalika anjeun sumping, teu aya anu khusus anu tiasa nyéépkeun jalan anu panjang. menu ieu biasa-biasa wae"
210,The bread is delicious. There are many variety of bread and snacks. The price is standard. My favorite is the white bread. I like it.,Roti téh ngeunah. Aya seueur jinis roti sareng jajanan. Hargana standar. Karesep kuring nyaéta roti bodas. Abdi resep éta.
211,"Who does he think he is? He's an ex-convict, so why is he all over the news?","Saur anjeunna saha? Anjeunna tilas narapidana, janten naha anjeunna seueur berita?"
212,"Wanna eat while enjoying Parisian atmosphere? No need to travel far to France, look no further than Paris van Java aka Bandung. Braga Permai is highly recommended if you wanna grab a bite and relax. Food's great, price's reasonable, and the vibe is just so comfy especially the outdoor tables. Enjoy your meal with the old-school Bandung mood.","Hoyong tuang bari ngarasakeun atmosfir Paris? Teu kudu jauh-jauh ka Perancis, kasampak leuwih jauh ti Paris van Java alias Bandung. Braga Permai disarankeun pisan upami anjeun hoyong tuang sareng bersantai. Dahareun saé, hargana lumayan, sareng suasanana saé pisan khususna méja luar. Ngarasakeun tuangeun anjeun sareng suasana Bandung baheula."
213,"Yogyakarta has many hotels on the side of their streets. Unfortunately, the price is way too expensive even for a 3-star, and the service isn't up to par.","Yogyakarta loba hotél di sisi jalan maranéhanana. Hanjakalna, hargana mahal teuing bahkan pikeun bintang 3, sareng palayananna henteu cocog."
214,"The bakmi's excellent. The peppered meat is also super tasty. It tastes a little bit spicy-ish but sooo delicious. Just eating one won't be enough, trust me.","Bakmi urang alus teuing. Daging peppered ogé super ngeunah. Rasana rada lada tapi ngeunah pisan. Ngan dahar hiji moal cukup, percanten ka abdi."
215,"Please fix the BNI mobile application, because I was unable to activate my account.","Mangga ngalereskeun aplikasi mobile BNI, sabab kuring teu bisa ngaktifkeun akun abdi."
216,Averse to using power banks since my Samsung handphone's battery leaked after using such a thing.,Averse mun ngagunakeun power bank saprak batré handphone Samsung abdi bocor sanggeus ngagunakeun hal saperti.
217,"The Uc1000 bottle is so darn difficult to open, makes my hands hurt.","Botol Uc1000 sesah dibuka, ngajantenkeun panangan kuring nyeri."
218,"Looking for a nostalgic mood in Jogja, and this place fits the bill! The food menu is dominated by Dutch-inspired dishes. My favorite is the sirloin steak. This restaurant also has a bakery with vintage-style bread options.","Milarian wanda nostalgia di Jogja, sareng tempat ieu cocog! Menu dahareun didominasi ku masakan Walanda-diideuan. favorit abdi teh sirloin steak. Réstoran ieu ogé ngagaduhan toko roti kalayan pilihan roti gaya vintage."
219,The Head of the House of Representative appreciates the peaceful procession of the Simultaneous Regional Election,Kapala DPR ngajénan prosesi damai Pilkada serentak
220,"You can't even pay your own employees right, and you wanna manage a state-owned enterprise? Get real, fool.","Anjeun malah teu bisa mayar karyawan sorangan katuhu, jeung anjeun wanna ngatur hiji usaha milik nagara? Janten nyata, bodo."
221,"There's a lot of cellphone brands to choose from in Indonesia. If you don't like the way Xiaomi runs their business, just pick another brand. Just relax","Aya seueur merek ponsel anu tiasa dipilih di Indonesia. Upami anjeun henteu resep cara Xiaomi ngajalankeun bisnisna, pilih waé merek anu sanés. Ngan bersantai"
222,"Ever eaten on the poolside of Hilton Hotel? Not recommended at all in terms of taste and price. Lack of flavour in the dishes. I brought 20 people, all were upset.","Kantos tuang di sisi kolam renang Hilton Hotel? Henteu disarankeun pisan dina hal rasa sareng harga. Kurangna rasa dina piring. Kuring mawa 20 urang, sadayana kesel."
223,"The place is unique. While eating, we're also pampered with the fully unique place. Lots of wooden objects and gallery. Also no need to worry about children. There's also children's toys. So we can eat more comfortably.","Tempatna unik. Nalika tuang, urang ogé dimanjakan ku tempat anu unik. Seueur objék kai sareng galeri. Ogé teu kudu salempang ngeunaan barudak. Aya ogé kaulinan barudak. Ku kituna urang bisa dahar leuwih nyaman."
224,"If you come here, make sure to order the sambal roa cassava. The fried cassava combined with sambal roa tastes amazing. The other ones are great too but for me and the fam, our favorite is of course cassavas coupled with a good coffee.","Lamun datang ka dieu, pastikeun pesen sambal roa singkong. Singkong goreng dipadukan dengan sambal roa rasanya luar biasa. Anu sanésna ogé saé tapi pikeun kuring sareng kulawarga, karesep urang tangtosna singkong ditambah sareng kopi anu saé."
225,His phone had an error when he first turned it on,Teleponna aya kasalahan nalika mimiti dihurungkeun
226,Having enough sleep every day can prevent your body from being exhausted and instead energizes you when waking up in the morning,Sare anu cukup unggal dinten tiasa nyegah awak anjeun capé sareng masihan énergi nalika hudang isuk-isuk.
227,"This restaurant is wonderfully romantic, with a breathtaking view especially at night.","réstoran Ieu wonderfully romantis, kalawan pintonan breathtaking utamana peuting."
228,"Good afternoon, Ma'am. Regarding Mandiri Bank's banking products, how may we help you? Yogi","Wilujeng siang, Bu. Ngeunaan produk perbankan Bank Mandiri, kumaha kami tiasa ngabantosan anjeun? Yogi"
229,"The vibe in this place was truly amazing. One time we came here at dusk, and we got a spot facing the waterfall. Splashing sounds of the waterfall and the rural mood of the villages added to the pleasant mood for our dinner that time. Food was served traditionally and they gave our taste buds an interesting flavour.","Vibe di tempat ieu sabenerna endah pisan. Hiji waktu urang kadieu wanci magrib, jeung urang meunang tempat nyanghareup ka curug. Sora-sora cipratan curug sareng suasana padésan désa nambihan suasana anu pikaresepeun pikeun tuangeun urang waktos éta. Dahareun dilayanan sacara tradisional sareng aranjeunna masihan kuncup rasa urang rasa anu pikaresepeun."
230,"The price is way too high, even though the food is just your typical Indonesian food. You could enjoy similar dishes in other places for way less. Even the darn fried rice costs an arm and a leg! So frustrating.","Hargana mahal teuing, sanaos tuangeunana ngan ukur tuangeun khas Indonésia. Anjeun tiasa ngaraosan tuangeun anu sami di tempat sanés kalayan langkung murah. Malah sangu goreng darn hargana hiji leungeun jeung suku! Jadi frustasi."
231,"In my aforementioned blocked MyCare account, I have added my new IM3 number.","Dina akun MyCare anu diblokir, kuring parantos nambihan nomer IM3 énggal."
232,"The 120 candidates who passed will be divided into 4 classes, with 30 students in each of them.","120 calon anu lulus bakal dibagi kana 4 kelas, anu masing-masing 30 siswa."
233,"What is this, high price, minimal service!","Naon ieu, harga tinggi, jasa minimal!"
234,I met him in the dorm we lived in during our university days.,Kuring pendak sareng anjeunna di asrama anu kami tempatna salami jaman universitas.
235,"Come on where's my confirmation? I've paid for it and sent the payment slip already, but my e-ticket won't come out? I'm disappointed, don't leave me hanging like this.","Hayu dimana konfirmasi kuring? Abdi parantos mayar sareng ngintunkeun slip pembayaran, tapi e-tikét kuring henteu kaluar? Kuring kuciwa, ulah ngantep kuring ngagantung sapertos kieu."
236,"Watching Indonesian films on TV really annoys me sometimes. They make it look like Indonesia has no problems, because everyone is travelling abroad all the time.","Nonton film-film Indonesia di TV kadang-kadang ngaganggu. Maranehanana siga Indonesia teu aya masalah, sabab sarerea ngumbara ka luar negeri."
237,"You ungrateful brat! Martial arts are not for showing off! It's to protect oneself! You dared to hit your teacher, what's stopping you from hitting your parents!? You devil, a life for a life! You owe me one life! And you will pay for it with yours!","Anjeun brat teu bersyukur! Seni bela diri lain keur pamer! Ã‰ta pikeun ngajaga diri! Maneh wani-wani neunggeul guru, naon nu ngalantarankeun maneh neunggeul kolot!? Anjeun Iblis, hirup pikeun kahirupan! Anjeun ngahutang kuring hiji kahirupan! Jeung anjeun bakal mayar eta kalawan anjeun!"
238,"When in Mangkok Ayam, buying Kwetiaw Siram is a must. At first glance it might not look like much, but when you start eating it, whew, that's a lot of portion for me. The Kwetiaw Siram is still the champion here compared to other places, honestly. The sambal also suits my palate.","Lamun di Mangkok Ayam, meuli Kwetiaw Siram téh kudu. Dina glance kahiji eta bisa jadi teu kasampak kawas loba, tapi mun anjeun ngamimitian dahar eta, weh, éta loba porsi keur kuring. Kwetiaw Siram masih juara di dieu dibandingkeun sareng tempat sanés, jujur. Sambalna ogé cocog sareng lalangit kuring."
239,Our young national athletes are taking part in Serpong Run 2018 for a test run.,Atlét ngora nasional urang milu dina Serpong Run 2018 pikeun uji lari.
240,"Hear it and spread it, oh my ailing country, that when officers are accursed, what's right becomes wrong and what's wrong becomes right.","Dangukeun sareng sebarkeun, duh nagara abdi anu gering, yén nalika pejabat dilaknat, anu leres janten salah sareng anu salah janten leres."
241,The Harapan Jaya Bus is far more comfortable than the others.,Beus Harapan Jaya jauh leuwih nyaman tibatan anu séjén.
242,Just leave her it you think you're bored with your girlfriend and being in a relationship doesn't mean anything to you,Ngan tinggalkeun anjeunna anu anjeun pikir anjeun bosen sareng kabogoh anjeun sareng dina hubungan henteu hartosna nanaon pikeun anjeun
243,"You still believe what he says? He buries his own depravity deep inside, but in the end he can't keep his shame hidden forever","Anjeun masih percaya naon manéhna nyebutkeun? Anjeunna ngubur kajahatan nyalira di jero, tapi tungtungna anjeunna moal tiasa nyumputkeun érana salami-lami"
244,"This cafe has a lot of amazing snacks, like what they call tahu di lumboenk and vulkano risols. The unique sensation of its presentation and taste will surely make you want them again and again. If you're curious, definitely try some.","Kafé ieu ngagaduhan seueur jajanan anu luar biasa, sapertos anu disebut tahu di lumboenk sareng vulkano risols. Sensasi unik tina presentasi sareng rasana pasti bakal ngajantenkeun anjeun hoyong deui sareng deui. Mun anjeun panasaran, pasti coba sababaraha."
245,"In 2018, KPK was determined to solve the E-KTP and Bibi cases.","Taun 2018, KPK tékad pikeun ngaréngsékeun perkara E-KTP jeung Bibi."
246,Only flights in Indonesia never appreciate time. Have paid a large amount but the services are not up to snuff.,Ngan penerbangan di Indonesia teu pernah ngahargaan waktu. Geus mayar jumlah badag tapi jasa teu nepi ka snuff.
247,"For a weekend banking service in Bekasi, you may visit the Mandiri Bank's Bekasi Juanda branch, sir.","Pikeun layanan perbankan sabtu minggu di Bekasi, anjeun tiasa nganjang ka Bank Mandiri cabang Bekasi Juanda, Pak."
248,So sad seeing the sea being turned into a filthy garbage dump,Sedih pisan ningali laut anu robah jadi tempat sampah
249,"One of the restaurants and hanging spots recommended by my friend which was very good. The location was kinda far from the city, and it's somewhat inside the alleyway even it's not visible from the main road. But the food was amazing, the place was fun, and the price was standard. It was worth every penny. Would love to come again when visiting Malang next time.","Salah sahiji réstoran jeung nongkrong spot dianjurkeun ku sobat kuring nu éta pohara alus. Lokasina rada tebih ti kota, sareng rada di jero gang sanaos henteu katingali tina jalan utama. Tapi dahareun éta endah, tempat éta senang, jeung harga éta baku. Ã‰ta patut unggal Penny. Abdi hoyong uih deui nalika nganjang ka Malang waktos salajengna."
250,On the Spot is airing now on Trans7,On the Spot ayeuna ditayangkeun dina Trans7
251,Truly a tasty and addicting fried chicken. The spicy sambal makes the dining sensation even better when accompanied with warm rice and iced sweet tea.,Ã‰stu hayam goreng anu ngeunah sareng adiktif. Sambal lada ngajadikeun sensasi tuangeun langkung saé nalika dibarengan ku sangu haneut sareng es tea amis.
252,I have registered but haven't received any messages from 5111,Abdi parantos ngadaptar tapi teu acan nampi pesen ti 5111
253,"Since we're travelling in Bandung, we might as well try the best batagor place in this Flower Town. We ended up ordering more than we could stomach without even realizing it. Fried bakso and tofu, fried siomay, and batagor soup, crispy chicken, and iced cendol, and in the end, we had to take home the yun yin tofu we ordered.","Kumargi nuju ngumbara di Bandung, urang tiasa nyobian tempat batagor pangsaéna di Kota Kembang ieu. Urang réngsé nepi mesen leuwih ti urang bisa burih tanpa sadar eta. Bakso goreng tahu, siomay goreng, sop batagor, hayam garing, jeung es céndol, ahirna urang kudu mawa balik tahu yun yin nu dipesen."
254,"Tried ordering shabu-shabu, the new menu in Gading Resto. The taste was pretty good, affordable too. Recommended if you wanna invite guests or just have a family dinner","Nyobian mesen shabu-shabu, menu anyar di Gading Resto. Rasa éta cukup alus, affordable teuing. Disarankeun upami anjeun hoyong ngajak tamu atanapi ngan ukur tuangeun kulawarga"
255,"Okay, I've sent it via DM","Oke, abdi parantos dikirim via DM"
256,"The commotion that happened by the end of the debate between both of West Java election candidates on May 14th, 2018, caused disagreement from the debate contestants.","Kaributan anu lumangsung nepi ka ahir debat antara dua calon Pilkada Jawa Barat tanggal 14 Méi 2018, ngabalukarkeun kaayaan teu satuju ti kontestan debat."
257,This morning I forgot to take off the borrowed Gojek driver's helmet after getting off the bike because I was chasing the bus.,Isuk-isuk kuring hilap nyabut helm supir Gojek anu diinjeum saatos turun tina sapédah kusabab nuju ngudag beus.
258,"This restaurant is always tops. The mood's very comfy to chat with friends, relatives, or lovers. Food tastes good , too. Although I don't usually eat much, since I like to come here during dusk the most.","réstoran Ieu salawasna tops. Mood pisan comfy pikeun ngobrol jeung babaturan, baraya, atawa kabogoh. Dahareun raos ogé. Sanaos abdi henteu tuang seueur, tapi kuring paling resep ka dieu nalika magrib."
259,"We ordered shrimps, beef. claypot, and everything was tasty, cooked to perfection, hit the spot, and high-quality. The place was big, and the service was a-okay. Everyone was kind and nice to the kids.","Urang mesen udang, daging sapi. claypot, jeung sagalana éta ngeunah, asak pikeun kasampurnaan, pencét titik, sarta kualitas luhur. tempat éta badag, sarta layanan ieu a-oke. Sarerea bageur jeung hade ka budak."
260,"Sick of the long lines, sick of looking for seats, sick of sitting down. If you don't have much time and just starving, don't bother coming here. I came here during Lebaran holiday and the shops around here were pretty pricy while having mediocre food.","Gering antrian panjang, geuring néangan korsi, gering diuk. Mun anjeun teu boga loba waktu jeung ngan kalaparan, ulah ganggu datang ka dieu. Kuring datang ka dieu nalika liburan Lebaran sareng toko-toko di dieu lumayan mahal bari tuangeun biasa-biasa waé."
261,"This resto has a cosy atmosphere with a traditional village style, Best visited in the afternoon up 'till nighttime when the atmosphere is more romantic thanks to the dim light from torches and bonfires. The food served here varies, from Indonesian food to European food, they have it all. Perfect for spending time with friends or family.","Resto ieu gaduh atmosfir cozy kalayan gaya kampung tradisional, pangalusna dilongok soré nepi 'nepi ka nighttime nalika atmosfir leuwih romantis berkat lampu taram ti obor jeung bonfires. Kadaharan anu disayogikeun di dieu béda-béda, ti katuangan Indonésia dugi ka tuangeun Ã‰ropa, sadayana aya. Sampurna pikeun nyéépkeun waktos sareng réréncangan atanapi kulawarga."
262,"""..the taste was rather delicious. ...""","""..rasana rada ngeunah. ..."""
263,My bills shot up twofold all 'cause the promo ran out without giving any notification. This ain't right.,Tagihan abdi ningkat dua kali lipat sadayana 'sabab promo béak tanpa masihan béwara. Ieu henteu leres.
264,Need price list info for the clothes on sale,Peryogi inpormasi daptar harga pikeun baju anu dijual
265,I've come to hate JNE even more because of their slow deliveries.,Abdi langkung benci JNE kusabab pangirimanna lambat.
266,"Unlike most other restaurants and cafes, the concept of this place is unique. Lots of lamps, paintings, and semi-antiques. Food and drinks were pretty good, but the surprising part was when I looked at the menu. The price was wowww, just right for my pocket. And of course, the low price didn't make it taste any different, it was still appetizing and high-quality.","Beda sareng seueur réstoran sareng kafe sanés, konsép tempat ieu unik. Seueur lampu, lukisan, sareng semi-antik. Dahareun jeung inuman éta geulis alus, tapi bagian héran éta nalika kuring nempo menu nu. Hargana wowww, pas pikeun saku kuring. Sareng tangtosna, harga anu murah henteu ngajantenkeun rasa anu béda, éta tetep napsu sareng kualitas luhur."
267,"It's located in the hotel's first floor, which is also the highest floor, giving you a breathtaking view of the green hills. Fresh, clean, comfy, extraordinary!","Hal ieu lokasina di lantai kahiji hotél, nu oge lanté pangluhurna, mere Anjeun tempoan breathtaking tina pasir héjo. Seger, bersih, nyaman, luar biasa!"
268,"Before my spouse and I went home to Jakarta, we stopped by this restaurant. The scenery was cool and the food was very affordable. Highly recommended","Sateuacan abdi sareng salaki mulih ka Jakarta, urang mampir ka réstoran ieu. tetempoan éta tiis jeung dahareun éta pisan affordable. Disarankeun pisan"
269,I'm fed up with everything. So bored of doing the same routine over and over again.,Abdi bosen sadayana. Janten bosen ngalakukeun rutinitas anu sami sareng deui.
270,Shame that the box is quite damaged,Ã‰ra yén kotakna rada ruksak
271,"We tried eating here and we were immediately given a negligent server who made us wait forever, like 4 Marcell songs. It took so long that we decided not to order. They could have the tastiest food for all I care, but nothing could salvage that lousy service.","Urang diusahakeun dahar di dieu sarta kami langsung dibéré server lalawora anu ngajadikeun urang antosan salawasna, siga 4 lagu Marcell. Butuh waktu jadi lila yén urang mutuskeun teu mesen. Ã‰ta bisa boga kadaharan tastiest pikeun sakabéh kuring paduli, tapi euweuh bisa salvage yén layanan lousy."
272,"The rawon rice is really delicious, affordable too. Near Parahyangan University. Unique venue with the woords and stuff.","Sangu rawon enak pisan, hargana murah. Deukeut Universitas Parahyangan. Tempat anu unik kalayan kecap-kecap sareng barang-barang."
273,"Ordered soto with grilled ribs, coupled with the cold atmosphere. The taste was delish and served kindly by Mbak Diah, Tisna, and Echa. I've come here twice and I'm always satisfied with the food quality and services.","Mesen soto ku iga bakar, ditambah ku hawa tiis. Rasana ngeunah disuguhan ku Mbak Diah, Tisna, jeung Echa. Kuring geus datang ka dieu dua kali jeung Abdi salawasna wareg jeung kualitas dahareun jeung jasa."
274,"YouTube has a lot of functions. You can use it to watch movies, listen to songs, and sometimes to study.","YouTube ngagaduhan seueur fungsi. Anjeun tiasa dianggo pikeun nonton pilem, ngadangukeun lagu, sareng sakapeung diajar."
275,"Rain in the morning really grinds my gears, traffic and cost of online taxibike become super uncontrollable, making me sick.","Hujan isuk-isuk bener-bener ngagiling gear kuring, lalu lintas sareng biaya sapédah online janten super teu kaampeuh, ngajantenkeun kuring gering."
276,"The food is quite delicious when it's cold and there are lots of variations ranging from Restoran Burangrang, Saung Purbasari, and the food court area.","Dahareun anu rada nikmat nalika tiis sareng seueur variasina mimitian ti Rumah Makan Burangrang, Saung Purbasari, sareng daérah food court."
277,Please find this person's address. I'll challenge them to a duel with samurai swords like a real man. They've insulted my mom whom I love and respect the most.,Mangga panggihan alamat ieu jalma. Kuring bakal tangtangan aranjeunna tanding sareng pedang samurai sapertos lalaki asli. Aranjeunna ngahina indung kuring anu paling kuring dipikacinta sareng dihormat.
278,"The coffee shop near UI campus, the vietnamese coffee is delicious, the price is relatively modest, good place for contemplating while doing your thesis.","Warung kopi caket kampus UI, kopi vietnamna enak, hargana kawilang sederhana, tempat anu saé pikeun ngémutan bari ngerjakeun skripsi."
279,The food is great and the view is amazing. It's just that the entrance to the Lawangwangi itself doesn't stand out so not a lot of people would notice it was there aside from passerbies.,"dahareun téh hébat sarta pintonan téh endah. Ngan, lawang ka Lawangwangi sorangan teu némbongan jadi teu loba jalma bakal aya bewara aya di dinya sajaba ti passerbies."
280,I started my business and never feared failure,Kuring ngamimitian bisnis kuring sareng henteu pernah sieun gagal
281,"A Doraemon-themed restaurant. The menu is affordable and decently varied. The place isn't too big, but cozy enough. The second floor is designed just like Nobita's bedroom, complete with the iconic time machine in his desk drawer and the Anywhere Door. There's a lot of Doraemon plushies and comics that are free to read while waiting for the food. Not only that, you can watch the Doraemon films while enjoying your food. My child loves the food. Cont.","A réstoran Doraemon-themed. menu nu mangrupa affordable sarta decently variatif. Tempatna henteu ageung teuing, tapi cukup cozy. Lantai kadua dirancang kawas pangkeng Nobita, kumplit jeung mesin waktu iconic dina laci meja-Na jeung Anywhere Door. Aya seueur boneka Doraemon sareng komik anu tiasa dibaca gratis bari ngantosan tuangeun. Henteu ngan éta, Anjeun bisa lalajo pilem Doraemon bari ngarasakeun dahareun anjeun. Anak kuring resep kana tuangeun. Terus."
282,"I went to Kafe D'Pakar with my family. The scenery is truly breathtaking. The meals are also delicious. To just relax and enjoy the food while admiring the views of D'Pakar is incredibly pleasing. We went there on Sunday, and it was really crowded. However, we didn't wait for too long and got ourselves a table immediately. You didn't have to wait for the food either as it would arrive shortly after you order it. This place is also great if you wanna take pics.","Abdi angkat ka Kafe D'Pakar sareng kulawarga. Tetempoan sabenerna breathtaking. Dahareun ogé nikmat. Ngan bersantai terasrasakeun dahareun bari admiring pintonan D'Pakar nyaeta incredibly pleasing. Urang indit ka dinya dina Minggu, tur éta bener rame. Najan kitu, urang teu ngadagoan lila teuing jeung meunang sorangan méja langsung. Anjeun teu kudu ngadagoan dahareun boh sabab bakal datang teu lila sanggeus anjeun mesen eta. Tempat ieu ogé saé upami anjeun hoyong nyandak poto."
283,"There is no mistake that this modern cafe is one of the favourites for Depok citizens to go to, for dining or gathering, seriously it's cuz the place is that comfy.","Teu aya lepatna kafe modéren ieu mangrupikeun salah sahiji anu dipikaresep ku warga Depok, kanggo tuangeun atanapi ngumpul, leres-leres éta tempatna anu nyaman."
284,Just upset with the babbling attitude of the other group.,Ngan keuheul ku sikep ngabobodo kelompok séjén.
285,"I like eating here because the chicken menu is tasty and soft, the sambal also hits the spot and the resto has such a comfortable vibe. Even better, the service is great and the price is reasonable.","Abdi resep tuang di dieu kusabab menu hayam anu ngeunah sareng lembut, sambalna ogé cocog sareng resto gaduh suasana anu nyaman. Malah leuwih hadé, palayanan anu saé sareng hargana lumayan."
286,I'm tired of getting angry. Might as well take my package back and ship it again using another expedition. I've been severely let down for God knows how many times,Bosen ambek. Ã‰ta ogé tiasa nyandak pakét kuring sareng dikirim deui nganggo ekspedisi anu sanés. Abdi parantos kuciwa pisan sabab Gusti anu terang sabaraha kali
287,"This Reunion House is highly recommended if you wanna have lunch in Bandung. It's cozy, perfect for relaxing and chatting with anyone. The menu is also top-notch.","Rumah Reuni ieu disarankeun pisan upami anjeun hoyong tuang siang di Bandung. Ã‰ta nyaman, sampurna pikeun bersantai sareng ngobrol sareng saha waé. menu nu ogé top-notch."
